Industry,Environment Score,Social Score,Governance Score,Total ESG Score,Industry Sentiment
Aerospace & Defense,225.0,203.0,205.0,633.0,0.13
Aerospace and Defense,485.0,305.7,299.0,1089.7,0.13
Airlines,326.71,265.71,246.29,838.71,0.0
Auto Components,338.33,248.33,246.67,833.33,0.0
Automobiles,393.0,229.25,237.0,859.25,0.0
Banking,341.48,292.34,264.48,898.31,0.0
Beverages,473.25,299.5,288.25,1061.0,0.0
Biotechnology,306.54,268.86,291.52,866.91,0.0
Building,476.7,305.1,292.4,1074.2,0.0
Chemicals,463.74,304.37,290.79,1058.89,0.0
Commercial Services and Supplies,419.43,301.29,275.14,995.86,0.0
Communications,385.0,278.78,274.44,938.22,0.0
Construction,495.33,306.17,281.17,1082.67,0.0
Consumer products,384.9,285.7,274.95,945.55,0.0
Distributors,525.0,277.0,307.67,1109.67,0.0
Diversified Consumer Services,286.0,233.33,220.0,739.33,0.0
Electrical Equipment,381.7,272.11,279.19,933.0,0.0
Energy,526.26,316.11,299.89,1142.26,0.27
Energy ,409.0,241.0,235.0,885.0,0.27
Financial Services,367.64,276.45,265.24,909.33,0.0
Food Products,516.57,311.29,303.21,1131.07,0.0
Health Care,374.53,287.43,276.8,938.76,0.49
Hotels Restaurants and Leisure,374.64,283.05,261.18,918.86,0.0
Hotels Restaurants & Leisure,270.0,248.5,227.5,746.0,0.0
Industrial Conglomerates,534.67,318.0,304.33,1157.0,0.0
Insurance,425.26,295.67,291.44,1012.37,0.0
Leisure Products,252.33,259.33,268.33,780.0,0.0
Life Sciences Tools and Services,421.38,294.5,277.25,993.12,0.0
Logistics and Transportation,452.33,289.5,283.33,1025.17,0.0
Machinery,459.57,313.67,274.81,1048.05,0.0
Marine,305.33,285.0,275.0,865.33,0.0
Media,346.91,313.0,275.35,935.26,0.0
Metals & Mining,215.0,200.0,200.0,615.0,0.0
Metals and Mining,450.89,299.11,278.33,1028.33,0.0
Packaging,536.25,323.0,296.75,1156.0,0.0
Pharmaceuticals,360.05,269.67,273.95,903.67,0.0
Professional Services,435.0,312.43,300.43,1047.86,0.0
Real Estate,431.39,290.92,273.64,995.94,0.0
Retail,380.31,274.96,263.31,918.58,0.0
Road and Rail,452.83,326.33,297.17,1076.33,0.0
Semiconductors,448.46,296.71,285.42,1030.58,0.0
Technology,438.11,307.9,285.3,1031.32,0.0
Telecommunication,362.33,286.0,280.0,928.33,0.0
Textiles Apparel and Luxury Goods,382.11,280.0,282.33,944.44,0.0
Tobacco,510.0,327.0,328.0,1165.0,0.0
Trading Companies and Distributors,332.8,302.4,250.0,885.2,0.0
Utilities,550.97,357.4,282.27,1190.63,0.0
